symbol,name,reportDate,fiscalDateEnding,estimate,currency
CRNX,Crinetics Pharmaceuticals Inc,2023-11-13,2023-09-30,-0.86,USD
CROMF,CROMF,2023-11-08,2023-09-30,,CAD
CRON,Cronos Group Inc,2023-11-08,2023-09-30,-0.02,USD
CRPOF,CRPOF,2023-11-07,2023-09-30,,CAD
CRRTF,CRRTF,2023-11-07,2023-09-30,,CAD
CRS,Carpenter Technology Corp,2024-01-24,2023-12-31,0.84,USD
CRSR,Corsair Gaming Inc,2023-11-07,2023-09-30,0.13,USD
CRSTD,CRSTD,2023-12-19,2023-11-30,,CAD
CRSTF,CRSTF,2023-12-19,2023-11-30,,CAD
CRT,Cross Timbers Royalty Trust,2023-11-15,2023-09-30,,USD
CRTD,CRTD,2023-11-14,2023-09-30,,USD
CRTG,CRTG,2023-11-20,2023-09-30,,USD
CRUS,Cirrus Logic Inc,2024-01-31,2023-12-31,2.08,USD
CRVL,Corvel Corp,2024-01-29,2023-12-31,,USD
CRVO,CervoMed Inc,2023-11-13,2023-09-30,-2.93,USD
CRVW,CRVW,2023-11-21,2023-09-30,,USD
CRWD,Crowdstrike Holdings Inc - Class A,2023-11-28,2023-10-31,0.74,USD
CRWE,CRWE,2023-11-06,2023-09-30,,USD
CRWS,Crown Crafts Inc,2023-11-14,2023-09-30,,USD
CRXM,CRXM,2023-11-23,2023-09-30,0,USD
CRYM,CRYM,2023-11-10,2023-09-30,,USD
CRZBY,CRZBY,2023-11-08,2023-09-30,0.4709,EUR
CSAN,Cosan S.A,2023-11-13,2023-09-30,0.1239,BRL
CSBB,CSBB,2024-01-24,2023-12-31,,USD
CSBR,Champions Oncology Inc,2023-12-11,2023-10-31,-0.17,USD
CSCCF,CSCCF,2023-11-03,2023-09-30,0.0061,USD
CSCO,Cisco Systems Inc,2023-11-14,2023-10-31,0.9923,USD
CSGS,CSG Systems International Inc,2024-01-30,2023-12-31,0.8571,USD
CSHX,CSHX,2024-01-23,2023-12-31,,USD
CSIOY,CSIOY,2023-11-08,2023-09-30,0.8662,JPY
CSIOY,CSIOY,2024-02-01,2023-12-31,1.13,JPY
CSIQ,Canadian Solar Inc,2023-11-14,2023-09-30,0.8163,USD
CSOL,CSOL,2023-11-16,2023-09-30,0,USD
CSPI,CSP Inc,2023-12-04,2023-09-30,,USD
CSSE,Chicken Soup for the Soul Entertainment Inc - Class A,2023-11-13,2023-09-30,-1.17,USD
CSSV,CSSV,2023-11-29,2023-09-30,0,USD
CSTE,Caesarstone Ltd,2023-11-08,2023-09-30,-0.16,USD
CSTI,CSTI,2023-11-13,2023-09-30,,USD
CSTPF,CSTPF,2023-11-27,2023-09-30,,USD
CSTR,CapStar Financial Holdings Inc,2024-01-17,2023-12-31,0.35,USD
CSV,Carriage Services Inc,2023-11-08,2023-09-30,0.5,USD
CSWC,Capital Southwest Corp,2024-01-29,2023-12-31,0.66,USD
CSWI,CSW Industrials Inc,2024-01-31,2023-12-31,1.15,USD
CSX,CSX Corp,2024-01-23,2023-12-31,0.44,USD
CTA-PA,CTA-PA,2023-11-06,2023-09-30,,USD
CTAGY,CTAGY,2023-11-29,2023-09-30,0,GBP
CTARD,CTARD,2023-11-27,2023-09-30,,USD
CTARF,CTARF,2023-11-27,2023-09-30,,USD
CTAS,Cintas Corporation,2023-12-19,2023-11-30,3.49,USD
CTBI,Community Trust Bancorp Inc,2024-01-16,2023-12-31,1.08,USD
CTG,Computer Task Group Inc,2023-11-06,2023-09-30,0.11,USD
CTGO,Contango Ore Inc,2023-11-08,2023-09-30,-0.61,USD
CTHR,Charles & Colvard Ltd,2024-01-31,2023-12-31,,USD
CTIC,CTIC,2023-11-06,2023-09-30,-0.0519,USD
CTKB,Cytek BioSciences Inc,2023-11-07,2023-09-30,0.03,USD
CTKYY,CTKYY,2023-12-06,2023-09-30,0.78,USD
CTLP,Cantaloupe Inc,2023-11-09,2023-09-30,0.01,USD
CTLT,Catalent Inc,2023-11-15,2023-09-30,-0.14,USD
CTM,Castellum Inc,2023-11-13,2023-09-30,-0.04,USD
CTMX,CytomX Therapeutics Inc,2023-11-07,2023-09-30,-0.19,USD
CTNXF,CTNXF,2023-11-27,2023-09-30,,USD
CTOS,Custom Truck One Source Inc,2023-11-07,2023-09-30,0.05,USD
CTPCY,CTPCY,2023-11-17,2023-09-30,0,HKD
CTPR,CTPR,2023-11-09,2023-09-30,0,USD
CTRA,Coterra Energy Inc,2023-11-06,2023-09-30,0.44,USD
CTRE,CareTrust REIT Inc,2023-11-06,2023-09-30,0.23,USD
CTRM,Castor Maritime Inc,2023-11-21,2023-09-30,,USD
CTRN,Citi Trends Inc,2023-11-27,2023-08-31,,USD
CTRN,Citi Trends Inc,2023-11-27,2023-10-31,-0.13,USD
CTRRF,CTRRF,2023-11-06,2023-09-30,,CAD
CTSDF,CTSDF,2023-11-14,2023-09-30,,CAD
CTSH,Cognizant Technology Solutions Corp - Class A,2024-01-31,2023-12-31,1.07,USD
CTSO,Cytosorbents Corp,2023-11-09,2023-09-30,-0.12,USD
CTTAY,CTTAY,2023-11-08,2023-09-30,0.2164,EUR
CTV,Innovid Corp,2023-11-08,2023-09-30,-0.01,USD
CTVA,Corteva Inc,2023-11-08,2023-09-30,-0.23,USD
CTVA,Corteva Inc,2024-01-30,2023-12-31,0.2783,USD
CTXR,Citius Pharmaceuticals Inc,2023-12-20,2023-09-30,-0.02,USD
CTXXF,CTXXF,2023-11-08,2023-09-30,,CAD
CUAUF,CUAUF,2023-12-06,2023-11-30,,USD
CUBI,Customers Bancorp Inc,2024-01-23,2023-12-31,1.71,USD
CUBT,Curative Biotechnology Inc,2023-11-06,2023-09-30,,USD
CUBXF,CUBXF,2023-11-13,2023-09-30,,CAD
CUE,Cue Biopharma Inc,2023-11-09,2023-09-30,-0.34,USD
CUEN,Cuentas Inc,2023-11-15,2023-09-30,,USD
CUK,Carnival plc,2023-12-20,2023-11-30,-0.1363,USD
CULL,Cullman Bancorp Inc,2023-11-06,2023-09-30,,USD
CULP,Culp Inc,2023-11-30,2023-08-31,-0.2,USD
CULP,Culp Inc,2023-12-05,2023-11-30,-0.22,USD
CURI,CuriosityStream Inc - Class A,2023-11-07,2023-09-30,-0.15,USD
CURLF,CURLF,2023-11-09,2023-09-30,-0.06,USD
CURN,CURN,2024-01-22,2023-10-31,,USD
CURUF,CURUF,2023-12-14,2023-09-30,,CAD
CURV,Torrid Holdings Inc,2023-12-08,2023-10-31,-0.05,USD
CUSI,CUSI,2023-11-07,2023-09-30,0,USD
CUSI,CUSI,2024-01-25,2023-12-31,0,USD
CUTR,Cutera Inc,2023-11-08,2023-09-30,-0.75,USD
CVAC,CureVac N.V.,2023-11-14,2023-09-30,-0.24,EUR
CVALF,CVALF,2024-01-23,2023-12-31,,CAD
CVBF,CVB Financial Corp,2024-01-23,2023-12-31,0.4,USD
CVCO,Cavco Industries Inc,2024-01-31,2023-12-31,5.69,USD
CVCY,Central Valley Community Bancorp,2024-01-24,2023-12-31,0.51,USD
CVGW,Calavo Growers Inc,2023-12-18,2023-10-31,0.38,USD
CVHL,CVHL,2023-11-07,2023-09-30,0,USD
CVLG,Covenant Logistics Group Inc - Class A,2024-01-23,2023-12-31,1.04,USD
CVLT,Commvault Systems Inc,2024-01-29,2023-12-31,0.72,USD
CVLY,Codorus Valley Bancorp Inc,2024-01-24,2023-12-31,0.49,USD
CVM,Cel-Sci Corp,2023-12-26,2023-09-30,-0.16,USD
CVOSF,CVOSF,2023-11-06,2023-09-30,,USD
CVR,Chicago Rivet & Machine Company,2023-11-06,2023-09-30,,USD
CVRX,CVRx Inc,2024-01-24,2023-12-31,-0.55,USD
CVSI,CVSI,2023-11-13,2023-09-30,-0.01,USD
CVTGF,CVTGF,2023-11-13,2023-09-30,,CAD
CVU,CPI Aerostructures Inc,2023-11-20,2023-09-30,,USD
CVV,CVD Equipment Corp,2023-11-13,2023-09-30,,USD
CVVUF,CVVUF,2023-12-04,2023-10-31,,CAD
CVX,Chevron Corp,2024-01-25,2023-12-31,3.68,USD
CWBC,Community West Bancshares,2024-01-25,2023-12-31,0.25,USD
CWBHF,CWBHF,2023-11-09,2023-09-30,-0.05,USD
CWBK,CWBK,2024-01-25,2023-12-31,0,USD
CWBR,CohBar Inc,2023-11-06,2023-09-30,,USD
CWCO,Consolidated Water Co. Ltd,2023-11-09,2023-09-30,0.4,USD
CWEGF,CWEGF,2023-11-08,2023-09-30,,CAD
CWGL,CWGL,2023-11-07,2023-09-30,,USD
CWLPF,CWLPF,2023-11-15,2023-08-31,,CAD
CWLPF,CWLPF,2024-01-10,2023-11-30,,CAD
CWSFF,CWSFF,2023-12-06,2023-10-31,,CAD
CWSRF,CWSRF,2023-11-09,2023-09-30,,CAD
CWVLF,CWVLF,2023-11-08,2023-09-30,,USD
CWYUF,CWYUF,2023-11-08,2023-09-30,,CAD
CXAI,CXApp Inc - Class A,2023-11-06,2023-09-30,-0.28,USD
CXBMF,CXBMF,2023-11-07,2023-09-30,,USD
CXDO,Crexendo Inc,2023-11-09,2023-09-30,0.02,USD
CXM,Sprinklr Inc Class A,2023-12-04,2023-09-30,0.07,USD
CXT,Crane NXT Company,2023-11-06,2023-09-30,1.01,USD
CXT,Crane NXT Company,2024-01-22,2023-12-31,0.9945,USD
CXW,CoreCivic Inc,2023-11-06,2023-09-30,0.13,USD
CXXIF,CXXIF,2023-12-13,2023-10-31,,USD
CYAD,CYAD,2023-11-09,2023-09-30,0,EUR
CYADY,CYADY,2023-11-09,2023-09-30,0,EUR
CYAN,Cyanotech Corp,2023-11-07,2023-09-30,,USD
CYBL,CYBL,2023-11-19,2023-09-30,,USD
CYBN,Cybin Inc,2023-11-29,2023-09-30,-0.0419,CAD
CYCA,CYCA,2024-01-10,2023-12-31,,USD
CYCC,Cyclacel Pharmaceuticals Inc,2023-11-07,2023-09-30,-0.36,USD
CYCN,Cyclerion Therapeutics Inc,2023-11-06,2023-09-30,,USD
CYD,China Yuchai International,2023-11-13,2023-09-30,0,CNY
CYDY,CYDY,2024-01-05,2023-11-30,,USD
CYFRF,CYFRF,2024-01-29,2023-12-31,,CAD
CYMHF,CYMHF,2024-01-01,2023-10-31,,CAD
CYN,Cyngn Inc,2023-11-08,2023-09-30,-0.16,USD
CYPXF,CYPXF,2023-11-16,2023-09-30,,CAD
CYRN,CYRN,2023-11-13,2023-09-30,,USD
CYRX,CryoPort Inc,2023-11-08,2023-09-30,-0.31,USD
CYT,Cyteir Therapeutics Inc,2023-11-08,2023-09-30,-0.25,USD
CYTH,Cyclo Therapeutics Inc - Class A,2023-11-13,2023-09-30,-0.38,USD
CYTO,Altamira Therapeutics Ltd,2023-11-30,2023-09-30,,CHF
CYXT,CYXT,2023-11-06,2023-09-30,-0.2694,USD
CYXTQ,CYXTQ,2023-11-06,2023-09-30,-0.2694,USD
CZBT,CZBT,2024-01-22,2023-12-31,,USD
CZFS,Citizens Financial Services Inc,2024-01-29,2023-12-31,1.62,USD
CZMWY,CZMWY,2023-12-12,2023-09-30,0.6857,USD
CZNC,Citizens & Northern Corp,2024-01-24,2023-12-31,0.38,USD
CZWI,Citizens Community Bancorp Inc MD,2024-01-22,2023-12-31,0.24,USD
D,Dominion Energy Inc,2023-11-03,2023-09-30,0.76,USD
DAC,Danaos Corporation,2023-11-13,2023-09-30,7.36,USD
DADA,Dada Nexus Ltd,2023-11-15,2023-09-30,-0.01,CNY
DAKT,Daktronics Inc,2023-12-11,2023-11-30,0.13,USD
DAL,Delta Air Lines Inc,2024-01-11,2023-12-31,1.14,USD
DALXF,DALXF,2023-11-09,2023-09-30,,CAD
DAO,Youdao Inc,2023-11-16,2023-09-30,-0.07,CNY
DAR,Darling Ingredients Inc,2023-11-07,2023-09-30,0.83,USD
DARE,Dare Bioscience Inc,2023-11-08,2023-09-30,-0.1,USD
DASTY,DASTY,2024-02-01,2023-12-31,0.3952,EUR
DAVA,Endava plc,2023-11-15,2023-09-30,0.42,GBP
DAVE,Dave Inc - Class A,2023-11-07,2023-09-30,-1.88,USD
DAWN,Day One Biopharmaceuticals Inc,2023-11-06,2023-09-30,-0.5857,USD
DB,Deutsche Bank AG,2024-02-01,2023-12-31,0.4157,EUR
DBCCF,DBCCF,2023-11-13,2023-09-30,,CAD
DBD,DBD,2023-11-06,2023-09-30,0.1467,USD
DBDQQ,DBDQQ,2023-11-06,2023-09-30,0.18,USD
DBGI,Digital Brands Group Inc,2023-11-14,2023-09-30,,USD
DBI,Designer Brands Inc - Class A,2023-11-29,2023-10-31,0.47,USD
DBIN,DBIN,2023-11-06,2023-09-30,,USD
DBOXF,DBOXF,2023-11-13,2023-09-30,,CAD
DBSDY,DBSDY,2023-11-06,2023-09-30,2.86,SGD
DBTX,Decibel Therapeutics Inc,2023-11-07,2023-09-30,-0.77,USD
DCBO,Docebo Inc,2023-11-09,2023-09-30,0.06,USD
DCFC,Tritium DCFC Ltd,2023-11-29,2023-09-30,-0.13,USD
DCGO,DocGo Inc,2023-11-06,2023-09-30,0.06,USD
DCHRD,DCHRD,2024-01-22,2023-12-31,,CAD
DCHRF,DCHRF,2024-01-22,2023-12-31,,CAD
DCI,Donaldson Co. Inc,2023-11-29,2023-10-31,0.72,USD
DCMDF,DCMDF,2023-11-06,2023-09-30,,CAD
DCO,Ducommun Inc,2023-11-08,2023-09-30,0.6,USD
DCOM,Dime Community Bancshares Inc,2024-01-25,2023-12-31,0.47,USD
DCSX,Direct Communication Solutions Inc,2023-11-29,2023-09-30,,USD
DCSXD,DCSXD,2023-11-29,2023-09-30,,USD
DCTH,Delcath Systems Inc,2023-11-06,2023-09-30,-0.52,USD
DDD,3D Systems Corp,2023-11-07,2023-09-30,-0.08,USD
DDDX,DDDX,2024-01-30,2023-10-31,,USD
DDEJF,DDEJF,2023-11-09,2023-09-30,,CAD
DDHRF,DDHRF,2023-11-06,2023-09-30,,CAD
DDI,DoubleDown Interactive Co Ltd,2023-11-08,2023-09-30,0.48,KRW
DDL,Dingdong (Cayman) Ltd,2023-11-16,2023-09-30,0,USD
DDOG,Datadog Inc - Class A,2023-11-07,2023-09-30,0.34,USD
DDS,Dillard`s Inc - Class A,2023-11-08,2023-10-31,6.72,USD
DE,Deere & Company,2023-11-22,2023-10-31,7.52,USD
DECK,Deckers Outdoor Corp,2024-01-31,2023-12-31,11.06,USD
DECN,DECN,2023-11-29,2023-09-30,0,USD
DEDVF,DEDVF,2023-11-06,2023-09-30,,CAD
DEER,DEER,2023-11-29,2023-09-30,0,USD
DELL,Dell Technologies Inc - Class C,2023-11-30,2023-10-31,1.46,USD
DEN,Denbury Inc - New,2023-11-09,2023-09-30,1.44,USD
DEO,Diageo plc,2023-11-29,2023-09-30,0,USD
DEO,Diageo plc,2024-01-25,2023-12-31,0,USD
DERM,Journey Medical Corp,2023-11-07,2023-09-30,-0.15,USD
DESP,Despegar.com Corp,2023-11-09,2023-09-30,0.07,USD
DFFN,DFFN,2023-11-13,2023-09-30,-1.95,USD
DFIFF,DFIFF,2023-11-07,2023-09-30,,USD
DFS,Discover Financial Services,2024-01-16,2023-12-31,2.56,USD
DG,Dollar General Corp,2023-11-29,2023-10-31,1.19,USD
DGHI,Digihost Technology Inc,2023-11-13,2023-09-30,,USD
DGII,Digi International Inc,2023-11-09,2023-09-30,0.48,USD
DGII,Digi International Inc,2024-01-31,2023-12-31,0.5282,USD
DGLY,Digital Ally Inc (New),2023-11-13,2023-09-30,-2.24,USD
DGNOF,DGNOF,2023-11-27,2023-09-30,,CAD
DGNOF,DGNOF,2024-01-23,2023-12-31,,CAD
DGTHF,DGTHF,2024-01-22,2023-11-30,,USD
DGX,Quest Diagnostics Inc,2024-01-31,2023-12-31,2.14,USD
DHI,D.R. Horton Inc,2023-11-07,2023-09-30,3.93,USD
DHI,D.R. Horton Inc,2024-01-22,2023-12-31,2.7,USD
DHR,Danaher Corp,2024-01-22,2023-12-31,1.76,USD
DHT,DHT Holdings Inc,2023-11-06,2023-09-30,0.2,USD
DIBS,1stdibs.com Inc,2023-11-08,2023-09-30,-0.17,USD
DICE,DICE,2023-11-09,2023-09-30,-0.74,USD
DIOD,Diodes Inc,2023-11-08,2023-09-30,1.22,USD
DIS,Walt Disney Co (The),2023-11-08,2023-09-30,0.67,USD
DISH,Dish Network Corp - Class A,2023-11-06,2023-09-30,0.04,USD
DIT,Amcon Distributing Company,2023-11-21,2023-09-30,,USD
DIT,Amcon Distributing Company,2024-01-16,2023-12-31,,USD
DJCO,Daily Journal Corporation,2023-12-14,2023-09-30,,USD
DK,Delek US Holdings Inc,2023-11-07,2023-09-30,1.33,USD
DKILY,DKILY,2023-11-07,2023-09-30,0.1863,JPY
DKL,Delek Logistics Partners LP,2023-11-07,2023-09-30,0.79,USD
DKLRF,DKLRF,2023-11-28,2023-09-30,,CAD
DKS,Dicks Sporting Goods Inc,2023-11-21,2023-10-31,2.47,USD
DLA,Delta Apparel Inc,2023-11-15,2023-09-30,-0.8,USD
DLB,Dolby Laboratories Inc - Class A,2023-11-16,2023-09-30,0.53,USD
DLB,Dolby Laboratories Inc - Class A,2024-01-31,2023-12-31,0.7813,USD
DLHC,DLH Holdings Corp,2023-12-06,2023-09-30,0.13,USD
DLHTF,DLHTF,2023-11-13,2023-09-30,-0.03,CAD
DLMAF,DLMAF,2023-12-05,2023-10-31,,CAD
DLNG,Dynagas LNG Partners LP,2023-12-11,2023-09-30,0.11,USD
DLO,DLocal Ltd Class A,2023-11-21,2023-09-30,0.15,USD
DLPN,Dolphin Entertainment Inc,2023-11-13,2023-09-30,0.05,USD
DLPX,DLPX,2023-12-18,2023-09-30,0,USD
DLTH,Duluth Holdings Inc - Class B,2023-11-29,2023-10-31,-0.26,USD
DLTNF,DLTNF,2023-11-14,2023-09-30,,CAD
DLTR,Dollar Tree Inc,2023-11-20,2023-10-31,1.01,USD
DLX,Deluxe Corp,2024-01-31,2023-12-31,0.8733,USD
DM,Desktop Metal Inc - Class A,2023-11-07,2023-09-30,-0.05,USD
DMAC,DiaMedica Therapeutics Inc,2023-11-07,2023-09-30,-0.13,USD
DMGGF,DMGGF,2024-01-29,2023-12-31,-0.0183,CAD
DMIFF,DMIFF,2023-11-03,2023-09-30,,CAD
DMK,DMK Pharmaceuticals Corp,2023-11-13,2023-09-30,,USD
DMRC,Digimarc Corporation,2023-11-06,2023-09-30,-0.34,USD
DMS,DMS,2023-11-06,2023-09-30,-2.85,USD
DMSL,DMSL,2023-11-06,2023-09-30,-2.85,USD
DNA,Ginkgo Bioworks Holdings Inc - Class A,2023-11-08,2023-09-30,-0.09,USD
DNBBY,DNBBY,2024-01-31,2023-12-31,0.5569,NOK
DNDDF,DNDDF,2023-11-08,2023-09-30,,CAD
DNGDF,DNGDF,2023-11-13,2023-09-30,0.07,USD
DNMR,Danimer Scientific Inc - Class A,2023-11-06,2023-09-30,-0.34,USD
DNN,Denison Mines Corp,2023-11-08,2023-09-30,-0.01,USD
DNNGY,DNNGY,2024-02-01,2023-12-31,0.291,DKK
DNPLY,DNPLY,2023-11-10,2023-09-30,0,JPY
DNRSD,DNRSD,2023-11-27,2023-09-30,,USD
DNRSF,DNRSF,2023-11-27,2023-09-30,,USD
DNTCF,DNTCF,2023-11-08,2023-09-30,,CAD
DNUT,Krispy Kreme Inc,2023-11-09,2023-09-30,0.06,USD
DO,Diamond Offshore Drilling Inc,2023-11-06,2023-09-30,-0.32,USD
DOCRF,DOCRF,2023-11-13,2023-09-30,,CAD
DOCS,Doximity Inc - Class A,2023-11-09,2023-09-30,0.18,USD
DOCU,DocuSign Inc,2023-12-06,2023-10-31,0.63,USD
DOLE,Dole plc,2023-11-16,2023-09-30,0.12,USD
DOMA,Doma Holdings Inc - New,2023-11-07,2023-09-30,-1.21,USD
DOMH,Dominari Holdings Inc,2023-11-15,2023-09-30,,USD
DOMO,Domo Inc - Class B,2023-12-06,2023-10-31,-0.12,USD
DOOO,BRP Inc,2023-11-28,2023-10-31,2.23,CAD
DOOR,Masonite International Corp,2023-11-07,2023-09-30,2.06,USD
DOUG,Douglas Elliman Inc,2023-11-15,2023-09-30,-0.08,USD
DOV,Dover Corp,2024-01-29,2023-12-31,2.44,USD
DOW,Dow Inc,2024-01-25,2023-12-31,0.4,USD
DOX,Amdocs Ltd,2023-11-07,2023-09-30,1.42,USD
DOX,Amdocs Ltd,2024-01-29,2023-12-31,1.58,USD
DOYU,DouYu International Holdings Ltd,2023-11-20,2023-09-30,0.02,CNY
DPDW,DPDW,2023-11-13,2023-09-30,,USD
DPLS,DPLS,2023-11-06,2023-09-30,,USD
DPMLF,DPMLF,2023-11-07,2023-09-30,0.2589,USD
DPRO,Draganfly Inc,2023-11-07,2023-09-30,-0.1178,CAD
DPSGY,DPSGY,2023-11-08,2023-09-30,0.7726,EUR
DPSI,DecisionPoint Systems Inc,2023-11-13,2023-09-30,0.07,USD
DPXCF,DPXCF,2023-11-23,2023-09-30,,CAD
DQWS,DQWS,2023-11-14,2023-09-30,,USD
DRCMF,DRCMF,2023-11-15,2023-09-30,,CAD
DRCT,Direct Digital Holdings Inc Class A,2023-11-09,2023-09-30,0.0533,USD
DREM,DREM,2023-11-21,2023-09-30,,USD
DRETF,DRETF,2023-11-09,2023-09-30,,CAD
DREUF,DREUF,2023-11-07,2023-09-30,,CAD
DRI,Darden Restaurants Inc,2023-12-14,2023-11-30,1.73,USD
DRKOF,DRKOF,2023-11-21,2023-09-30,,CAD
DRMA,Dermata Therapeutics Inc,2023-11-10,2023-09-30,-0.63,USD
DROP,DROP,2023-11-29,2023-09-30,0,USD
DROR,DROR,2023-11-13,2023-09-30,,USD
DRRSF,DRRSF,2023-11-20,2023-09-30,,CAD
DRTS,Alpha Tau Medical Ltd,2023-11-21,2023-09-30,-0.1225,USD
DRTT,DRTT,2023-11-13,2023-09-30,-0.01,USD
DRUNF,DRUNF,2023-11-08,2023-09-30,,CAD
DS,DS,2023-11-20,2023-09-30,,USD
DSDVY,DSDVY,2024-02-01,2023-12-31,0.9318,DKK
DSGT,DSGT,2023-11-13,2023-09-30,,USD
DSGX,Descartes Systems Group Inc,2023-11-29,2023-10-31,0.3376,USD
DSHK,DSHK,2023-11-20,2023-09-30,-0.11,USD
DSKE,Daseke Inc,2023-11-09,2023-09-30,0.12,USD
DSNY,DSNY,2023-11-13,2023-08-31,,USD
DSNY,DSNY,2024-01-15,2023-11-30,,USD
DSP,Viant Technology Inc - Class A,2023-11-06,2023-09-30,-0.06,USD
DSS,DSS Inc,2023-11-13,2023-09-30,-0.01,USD
DSVSF,DSVSF,2023-11-21,2023-09-30,,CAD
DSWL,Deswell Industries Inc,2023-11-16,2023-09-30,0,USD
DSX,Diana Shipping Inc,2023-11-15,2023-09-30,0.05,USD
DT,Dynatrace Inc,2024-01-30,2023-12-31,0.2612,USD
DTC,Solo Brands Inc - Class A,2023-11-07,2023-09-30,0.11,USD
DTEA,DTEA,2023-12-11,2023-11-30,,CAD
DTEAF,DTEAF,2023-12-11,2023-09-30,,CAD
DTEAF,DTEAF,2023-12-11,2023-10-31,,CAD
DTEGY,DTEGY,2023-11-09,2023-09-30,0.4966,EUR
DTF,DTF Tax-Free Income 2028 Term Fund Inc,2024-01-02,2023-10-31,,USD
DTIL,Precision Biosciences Inc,2023-11-07,2023-09-30,-0.17,USD
DTLIF,DTLIF,2023-12-07,2023-10-31,,USD
DTMXF,DTMXF,2023-11-20,2023-09-30,,CAD
DTNOF,DTNOF,2023-11-09,2023-09-30,0.026,USD
DTSRF,DTSRF,2023-11-08,2023-09-30,,CAD
DTSS,Datasea Inc,2023-11-15,2023-09-30,0,USD
DTST,Data Storage Corp,2023-11-13,2023-09-30,0.02,USD
DUNE,Dune Acquisition Corporation - Class A,2023-11-13,2023-09-30,,USD
DUOL,Duolingo Inc - Class A,2023-11-08,2023-09-30,-0.12,USD
DUOT,Duos Technologies Group Inc,2023-11-14,2023-09-30,-0.32,USD
DUUO,DUUO,2023-11-10,2023-09-30,,USD
DV,DoubleVerify Holdings Inc,2023-11-09,2023-09-30,0.06,USD
DVA,DaVita Inc,2023-11-07,2023-09-30,2.02,USD
DVHGF,DVHGF,2023-11-28,2023-10-31,,USD
DVN,Devon Energy Corp,2023-11-07,2023-09-30,1.48,USD
DWAHY,DWAHY,2023-11-10,2023-09-30,0.8353,JPY
DWAY,DWAY,2023-11-29,2023-09-30,0,USD
DWOG,DWOG,2023-11-29,2023-09-30,0,USD
DWSN,Dawson Geophysical Company,2023-11-08,2023-09-30,,USD
DWWEF,DWWEF,2023-11-22,2023-09-30,,CAD
DX,Dynex Capital Inc,2024-01-29,2023-12-31,-0.34,USD
DXC,DXC Technology Company,2024-01-30,2023-12-31,0.9012,USD
DXIEF,DXIEF,2023-11-28,2023-09-30,,CAD
DXLG,Destination XL Group Inc,2023-11-17,2023-10-31,0.07,USD
DXPE,DXP Enterprises Inc,2023-11-07,2023-09-30,0.96,USD
DXR,Daxor Corp,2023-11-09,2023-09-30,0,USD
DY,Dycom Industries Inc,2023-11-21,2023-10-31,1.78,USD
DYAI,Dyadic International Inc DE,2023-11-08,2023-09-30,-0.06,USD
DYFSF,DYFSF,2023-11-10,2023-09-30,,CAD
DYLLF,DYLLF,2023-11-29,2023-09-30,0,AUD
DYNT,Dynatronics Corp,2023-11-09,2023-09-30,-0.23,USD
DYSL,DYSL,2023-12-22,2023-09-30,0,USD
EA,Electronic Arts Inc,2024-01-30,2023-12-31,2.79,USD
EACO,EACO,2024-01-02,2023-11-30,,USD
EACTF,EACTF,2023-11-27,2023-09-30,,CAD
EADSY,EADSY,2023-11-08,2023-09-30,0.3169,EUR
EAF,GrafTech International Ltd,2023-11-03,2023-09-30,-0.03,USD
EAF,GrafTech International Ltd,2024-02-01,2023-12-31,-0.0097,USD
EAGRF,EAGRF,2023-11-08,2023-09-30,,USD
EAR,Eargo Inc,2023-11-03,2023-09-30,-0.97,USD
EARN,Ellington Residential Mortgage REIT,2023-11-13,2023-09-30,0.24,USD
EAST,Eastside Distilling Inc,2023-11-13,2023-09-30,-1.26,USD
EAT,Brinker International Inc,2024-01-30,2023-12-31,0.8944,USD
EAWD,EAWD,2023-11-07,2023-09-30,,USD
EAXR,EAXR,2023-11-10,2023-09-30,,USD
EBAY,EBay Inc,2023-11-07,2023-09-30,0.94,USD
EBC,Eastern Bankshares Inc,2024-01-24,2023-12-31,0.22,USD
EBCOY,EBCOY,2023-11-14,2023-09-30,0,JPY
EBET,EBET,2023-11-29,2023-09-30,-0.26,USD
EBF,Ennis Inc,2023-12-18,2023-11-30,0.4,USD
EBIX,Ebix Inc,2023-11-07,2023-09-30,0.07,USD
EBMT,Eagle Bancorp Montana Inc,2024-01-24,2023-12-31,0.33,USD
EBON,Ebang International Holdings Inc - Class A,2023-11-10,2023-09-30,,USD
EBR,Centrais Eletricas Brasileiras S.A.,2023-11-08,2023-09-30,0.2111,USD
EBR-B,Centrais Eletricas Brasileiras S.A.,2023-11-08,2023-09-30,0.2111,BRL
EBTC,Enterprise Bancorp Inc,2023-11-20,2023-09-30,,USD
EBTC,Enterprise Bancorp Inc,2024-01-24,2023-12-31,,USD
EBZT,EBZT,2023-12-18,2023-10-31,,USD
EC,Ecopetrol SA,2023-11-07,2023-09-30,2184.17,COP
ECAOF,ECAOF,2023-11-27,2023-09-30,,USD
ECC,Eagle Point Credit Company Inc,2023-11-14,2023-09-30,0.33,USD
ECF,Ellsworth Growth and Income Fund Ltd,2024-01-25,2023-12-31,0,USD
ECIA,ECIA,2023-11-13,2023-09-30,,USD
ECLMF,ECLMF,2023-11-28,2023-09-30,,CAD
ECNCF,ECNCF,2023-11-07,2023-09-30,,USD
ECOR,ElectroCore Inc,2023-11-08,2023-09-30,-0.7,USD
ECORF,ECORF,2023-11-29,2023-09-30,,CAD
