symbol,name,reportDate,fiscalDateEnding,estimate,currency
ADBE,Adobe Inc,2023-12-13,2023-11-30,3.9,USD
ADCOF,ADCOF,2023-11-13,2023-09-30,,USD
ADCT,Adc Therapeutics SA,2023-11-07,2023-09-30,-0.63,USD
ADDYY,ADDYY,2023-11-08,2023-09-30,0.4727,EUR
ADEA,Adeia Inc,2023-11-06,2023-09-30,0.26,USD
ADER,26 Capital Acquisition Corp - Class A,2023-11-12,2023-09-30,,USD
ADERY,ADERY,2023-11-14,2023-09-30,0,JPY
ADES,Advanced Emissions Solutions Inc,2023-11-08,2023-09-30,-0.11,USD
ADFJF,ADFJF,2023-12-05,2023-10-31,,CAD
ADFS,ADFS,2023-11-21,2023-09-30,0,USD
ADI,Analog Devices Inc,2023-11-21,2023-10-31,2,USD
ADIL,Adial Pharmaceuticals Inc,2023-11-13,2023-09-30,-1.13,USD
ADM,Archer Daniels Midland Company,2024-01-24,2023-12-31,1.66,USD
ADMA,Adma Biologics Inc,2023-11-08,2023-09-30,-0.01,USD
ADMP,ADMP,2023-11-13,2023-09-30,,USD
ADMT,ADMT,2023-11-20,2023-09-30,,USD
ADN,Advent Technologies Holdings Inc - Class A,2023-11-13,2023-09-30,-0.15,USD
ADNT,Adient plc,2023-11-08,2023-09-30,0.58,USD
ADP,Automatic Data Processing Inc,2024-01-23,2023-12-31,2.1,USD
ADRNY,ADRNY,2023-11-08,2023-09-30,0.67,EUR
ADSK,Autodesk Inc,2023-11-20,2023-10-31,1.99,USD
ADTH,AdTheorent Holding Company Inc,2023-11-07,2023-09-30,-0.002,USD
ADTX,Aditxt Inc,2023-11-29,2023-09-30,-4,USD
ADV,Advantage Solutions Inc - Class A,2023-11-07,2023-09-30,0.13,USD
ADVM,Adverum Biotechnologies Inc,2023-11-08,2023-09-30,-0.32,USD
ADVZF,ADVZF,2023-11-22,2023-09-30,,CAD
ADWPF,ADWPF,2023-11-09,2023-09-30,,CAD
ADXN,Addex Therapeutics Ltd,2023-11-13,2023-09-30,-0.0309,CHF
ADYEY,ADYEY,2023-11-29,2023-09-30,0,EUR
ADYX,ADYX,2023-11-16,2023-09-30,0,USD
AE,Adams Resources & Energy Inc,2023-11-08,2023-09-30,0.15,USD
AEE,Ameren Corp,2023-11-08,2023-09-30,1.82,USD
AEG,Aegon Ltd,2023-11-16,2023-09-30,-0.477,USD
AEHR,Aehr Test Systems,2024-01-03,2023-11-30,0.19,USD
AEL,American Equity Investment Life Holding Company,2023-11-07,2023-09-30,1.72,USD
AEMD,Aethlon Medical Inc,2023-11-13,2023-09-30,-1.4,USD
AEMMY,AEMMY,2023-11-14,2023-09-30,0,EUR
AERG,AERG,2023-11-14,2023-09-30,0,USD
AEVA,Aeva Technologies Inc,2023-11-08,2023-09-30,-0.15,USD
AEY,Addvantage Technologies Group,2023-11-13,2023-09-30,,USD
AFCG,AFC Gamma Inc,2023-11-08,2023-09-30,0.49,USD
AFFCF,AFFCF,2023-11-23,2023-09-30,0,CAD
AFFY,AFFY,2023-11-08,2023-09-30,0,USD
AFG,American Financial Group Inc,2024-01-30,2023-12-31,2.98,USD
AFGVY,AFGVY,2023-11-15,2023-09-30,0,EUR
AFIB,Acutus Medical Inc,2023-11-13,2023-09-30,-0.61,USD
AFL,Aflac Inc,2024-01-30,2023-12-31,1.44,USD
AFMD,Affimed N.V.,2023-11-13,2023-09-30,-0.2,EUR
AFRM,Affirm Holdings Inc - Class A,2023-11-08,2023-09-30,-0.7,USD
AFYA,Afya Ltd - Class A,2023-11-13,2023-09-30,0.27,BRL
AGAE,Allied Gaming & Entertainment Inc,2023-11-14,2023-09-30,,USD
AGBA,AGBA Group Holding Ltd,2023-11-15,2023-09-30,,USD
AGCCF,AGCCF,2023-11-27,2023-09-30,,CAD
AGDXF,AGDXF,2023-12-25,2023-09-30,,CAD
AGE,AgeX Therapeutics Inc,2023-11-13,2023-09-30,,USD
AGEN,Agenus Inc,2023-11-07,2023-09-30,-0.19,USD
AGESY,AGESY,2023-11-08,2023-09-30,1.43,EUR
AGFAF,AGFAF,2023-11-29,2023-09-30,,CAD
AGFMF,AGFMF,2024-01-23,2023-11-30,,CAD
AGGFF,AGGFF,2023-11-20,2023-09-30,,USD
AGGHF,AGGHF,2023-11-29,2023-09-30,0,USD
AGGZF,AGGZF,2023-11-07,2023-09-30,,CAD
AGIL,AgileThought Inc - Class A,2023-11-10,2023-09-30,-0.11,USD
AGM,Federal Agricultural Mortgage Corp - Class C,2023-11-06,2023-09-30,4,USD
AGM-A,Federal Agricultural Mortgage Corp - Class A,2023-11-06,2023-09-30,4,USD
AGMJF,AGMJF,2023-11-03,2023-09-30,,CAD
AGNC,AGNC Investment Corp,2024-01-29,2023-12-31,0.56,USD
AGO,Assured Guaranty Ltd,2023-11-07,2023-09-30,1.05,USD
AGPYY,AGPYY,2023-11-29,2023-09-30,0,CNY
AGRI,AgriFORCE Growing Systems Ltd,2023-11-10,2023-09-30,-0.02,USD
AGRO,Adecoagro S.A.,2023-11-13,2023-09-30,,USD
AGRPY,AGRPY,2023-11-29,2023-09-30,0,ZAR
AGRX,Agile Therapeutics Inc,2023-11-09,2023-09-30,-6,USD
AGS,PlayAGS Inc,2023-11-07,2023-09-30,0.02,USD
AGSS,AGSS,2023-11-06,2023-09-30,,USD
AGTI,Agiliti Inc,2023-11-07,2023-09-30,0.09,USD
AGTX,AGTX,2023-11-14,2023-08-31,,USD
AGX,Argan Inc,2023-12-05,2023-10-31,0.88,USD
AGXPF,AGXPF,2023-11-27,2023-08-31,0.01,USD
AGYS,Agilysys Inc,2024-01-22,2023-12-31,0.26,USD
AHCO,AdaptHealth Corp,2023-11-07,2023-09-30,0.19,USD
AHFCF,AHFCF,2023-11-16,2023-09-30,,CAD
AHG,Akso Health Group,2023-12-03,2023-09-30,,USD
AHIX,AHIX,2023-11-14,2023-09-30,0,USD
AHKSY,AHKSY,2023-11-07,2023-09-30,0.2132,JPY
AHOTF,AHOTF,2023-11-07,2023-09-30,,USD
AHPIQ,AHPIQ,2023-11-16,2023-09-30,0,USD
AI,C3.ai Inc - Class A,2023-12-05,2023-10-31,-0.18,USD
AIAGY,AIAGY,2023-12-06,2023-09-30,0.0528,EUR
AIFLF,AIFLF,2023-11-08,2023-09-30,,JPY
AIFLY,AIFLY,2023-11-09,2023-09-30,0,JPY
AIFS,AIFS,2023-11-07,2023-09-30,,USD
AIH,Aesthetic Medical International Holdings Group Ltd,2023-11-26,2023-09-30,,CNY
AIHS,Senmiao Technology Ltd,2023-11-12,2023-09-30,,USD
AIKI,AIKI,2023-11-15,2023-09-30,,USD
AILLP,AILLP,2023-11-04,2023-09-30,,USD
AILQF,AILQF,2023-11-15,2023-09-30,,CAD
AIM,AIM ImmunoTech Inc,2023-11-13,2023-10-31,-0.11,USD
AIMD,Ainos Inc,2023-11-06,2023-09-30,0,USD
AIMFF,AIMFF,2023-11-14,2023-09-30,,CAD
AIN,Albany International Corp - Class A,2023-11-06,2023-09-30,0.92,USD
AINC,Ashford Inc,2023-11-08,2023-09-30,1.61,USD
AIP,Arteris Inc,2023-11-07,2023-09-30,-0.18,USD
AIR,AAR Corp,2023-12-18,2023-11-30,0.8,USD
AIRG,Airgain Inc,2023-11-09,2023-09-30,-0.02,USD
AIRI,Air Industries Group,2023-11-13,2023-09-30,,USD
AIRS,Airsculpt Technologies Inc,2023-11-10,2023-09-30,-0.02,USD
AIRT,Air T Inc,2023-11-08,2023-09-30,,USD
AIT,Applied Industrial Technologies Inc,2024-01-24,2023-12-31,2.11,USD
AITX,AITX,2024-01-18,2023-11-30,,USD
AIU,Meta Data Ltd,2023-12-29,2023-11-30,,CNY
AIV,Apartment Investment & Management Co. - Class A,2023-11-06,2023-09-30,-0.05,USD
AIXN,AIXN,2023-11-20,2023-09-30,,USD
AJG,Arthur J. Gallagher & Company,2024-01-24,2023-12-31,1.9,USD
AJINY,AJINY,2023-11-06,2023-09-30,0.2917,JPY
AJINY,AJINY,2024-01-31,2023-12-31,0.424,JPY
AKA,a.k.a. Brands Holding Corp,2023-11-08,2023-09-30,-0.12,USD
AKAM,Akamai Technologies Inc,2023-11-07,2023-09-30,1.5,USD
AKBA,Akebia Therapeutics Inc,2023-11-08,2023-09-30,-0.08,USD
AKBTY,AKBTY,2024-02-01,2023-12-31,0.2441,TRY
